order_number,status,matched_customer,order_status,delivery_date,total_amount,items,attempts,error,timestamp
CM0002153446,not_found,,,,,,195,,2025-09-29T18:53:46.695891
CM0002153447,not_found,,,,,,195,,2025-09-29T18:53:48.790236
CM0002153448,not_found,,,,,,195,,2025-09-29T18:53:50.892028
CM0002153449,not_found,,,,,,195,,2025-09-29T18:53:52.990584
CM0002153450,not_found,,,,,,195,,2025-09-29T18:53:55.094779
CM0002153451,not_found,,,,,,195,,2025-09-29T18:53:57.187750
CM0002153452,not_found,,,,,,195,,2025-09-29T18:53:59.286374
CM0002153453,not_found,,,,,,195,,2025-09-29T18:54:01.386972
CM0002153454,not_found,,,,,,195,,2025-09-29T18:54:03.474975
CM0002153455,not_found,,,,,,195,,2025-09-29T18:54:05.569888
CM0002153456,not_found,,,,,,195,,2025-09-29T18:54:07.660346
CM0002153457,not_found,,,,,,195,,2025-09-29T18:54:09.825649
CM0002153458,not_found,,,,,,195,,2025-09-29T18:54:11.906795
CM0002153459,not_found,,,,,,195,,2025-09-29T18:54:13.998894
CM0002153460,not_found,,,,,,195,,2025-09-29T18:54:16.087645
CM0002153461,not_found,,,,,,195,,2025-09-29T18:54:18.186066
CM0002153462,not_found,,,,,,195,,2025-09-29T18:54:20.283275
CM0002153463,not_found,,,,,,195,,2025-09-29T18:54:22.379423
CM0002153464,not_found,,,,,,195,,2025-09-29T18:54:24.509865
CM0002153465,not_found,,,,,,195,,2025-09-29T18:54:26.626919
CM0002153466,not_found,,,,,,195,,2025-09-29T18:54:28.762854
CM0002153467,not_found,,,,,,195,,2025-09-29T18:54:30.890811
CM0002153468,not_found,,,,,,195,,2025-09-29T18:54:33.034264
CM0002153469,not_found,,,,,,195,,2025-09-29T18:54:35.375001
CM0002153470,not_found,,,,,,195,,2025-09-29T18:54:37.498660
CM0002153471,not_found,,,,,,195,,2025-09-29T18:54:39.626197
CM0002153472,not_found,,,,,,195,,2025-09-29T18:54:41.751135
CM0002153473,not_found,,,,,,195,,2025-09-29T18:54:43.888470
CM0002153474,not_found,,,,,,195,,2025-09-29T18:54:46.021080
CM0002153475,not_found,,,,,,195,,2025-09-29T18:54:48.140520
CM0002153476,not_found,,,,,,195,,2025-09-29T18:54:50.260534
CM0002153477,not_found,,,,,,195,,2025-09-29T18:54:52.420528
CM0002153478,not_found,,,,,,195,,2025-09-29T18:54:55.955669
CM0002153479,not_found,,,,,,195,,2025-09-29T18:54:59.967680
CM0002153480,not_found,,,,,,195,,2025-09-29T18:55:02.937869
CM0002153481,not_found,,,,,,195,,2025-09-29T18:55:08.410078
CM0002153482,not_found,,,,,,195,,2025-09-29T18:55:10.528334
CM0002153483,not_found,,,,,,195,,2025-09-29T18:55:12.651047
CM0002153484,not_found,,,,,,195,,2025-09-29T18:55:14.793348
CM0002153485,not_found,,,,,,195,,2025-09-29T18:55:16.914481
CM0002153486,not_found,,,,,,195,,2025-09-29T18:55:19.030505
CM0002153487,not_found,,,,,,195,,2025-09-29T18:55:21.165848
CM0002153488,not_found,,,,,,195,,2025-09-29T18:55:23.283956
CM0002153489,not_found,,,,,,195,,2025-09-29T18:55:25.408002
CM0002153490,not_found,,,,,,195,,2025-09-29T18:55:27.524556
CM0002153491,not_found,,,,,,195,,2025-09-29T18:55:29.633043
CM0002153492,not_found,,,,,,195,,2025-09-29T18:55:31.759041
CM0002153493,not_found,,,,,,195,,2025-09-29T18:55:33.892314
CM0002153494,not_found,,,,,,195,,2025-09-29T18:55:36.024819
CM0002153495,not_found,,,,,,195,,2025-09-29T18:55:38.466271
CM0002153496,not_found,,,,,,195,,2025-09-29T18:55:40.588248
CM0002153497,not_found,,,,,,195,,2025-09-29T18:55:42.708302
CM0002153498,not_found,,,,,,195,,2025-09-29T18:55:44.817992
CM0002153499,not_found,,,,,,195,,2025-09-29T18:55:46.926534
CM0002153500,not_found,,,,,,195,,2025-09-29T18:55:49.043778
CM0002153501,not_found,,,,,,195,,2025-09-29T18:55:51.186763
CM0002153502,not_found,,,,,,195,,2025-09-29T18:55:53.308682
CM0002153503,not_found,,,,,,195,,2025-09-29T18:55:55.417441
CM0002153504,not_found,,,,,,195,,2025-09-29T18:55:57.524243
CM0002153505,not_found,,,,,,195,,2025-09-29T18:55:59.652142
CM0002153506,not_found,,,,,,195,,2025-09-29T18:56:01.779341
CM0002153507,not_found,,,,,,195,,2025-09-29T18:56:03.898581
CM0002153508,not_found,,,,,,195,,2025-09-29T18:56:06.032195
CM0002153509,not_found,,,,,,195,,2025-09-29T18:56:08.151481
CM0002153510,not_found,,,,,,195,,2025-09-29T18:56:10.280664
CM0002153511,not_found,,,,,,195,,2025-09-29T18:56:12.434197
CM0002153512,not_found,,,,,,195,,2025-09-29T18:56:14.562123
CM0002153513,not_found,,,,,,195,,2025-09-29T18:56:16.686537
CM0002153514,not_found,,,,,,195,,2025-09-29T18:56:19.065702
CM0002153515,not_found,,,,,,195,,2025-09-29T18:56:21.204253
CM0002153516,not_found,,,,,,195,,2025-09-29T18:56:23.365763
CM0002153517,not_found,,,,,,195,,2025-09-29T18:56:25.483801
CM0002153518,not_found,,,,,,195,,2025-09-29T18:56:27.612033
CM0002153519,not_found,,,,,,195,,2025-09-29T18:56:29.744415
CM0002153520,not_found,,,,,,195,,2025-09-29T18:56:31.859104
CM0002153521,not_found,,,,,,195,,2025-09-29T18:56:34.023406
CM0002153522,not_found,,,,,,195,,2025-09-29T18:56:36.152984
CM0002153523,not_found,,,,,,195,,2025-09-29T18:56:38.302430
CM0002153524,not_found,,,,,,195,,2025-09-29T18:56:40.416611
CM0002153525,not_found,,,,,,195,,2025-09-29T18:56:42.738898
CM0002153526,not_found,,,,,,195,,2025-09-29T18:56:44.883561
CM0002153527,not_found,,,,,,195,,2025-09-29T18:56:47.012192
CM0002153528,not_found,,,,,,195,,2025-09-29T18:56:49.141603
CM0002153529,not_found,,,,,,195,,2025-09-29T18:56:51.378053
CM0002153530,not_found,,,,,,195,,2025-09-29T18:56:53.513589
CM0002153531,not_found,,,,,,195,,2025-09-29T18:56:55.645758
CM0002153532,not_found,,,,,,195,,2025-09-29T18:56:57.771312
CM0002153533,not_found,,,,,,195,,2025-09-29T18:56:59.893027
CM0002153534,not_found,,,,,,195,,2025-09-29T18:57:02.121864
CM0002153535,not_found,,,,,,195,,2025-09-29T18:57:05.083749
CM0002153536,not_found,,,,,,195,,2025-09-29T18:57:09.502199
CM0002153537,not_found,,,,,,195,,2025-09-29T18:57:12.489266
CM0002153538,not_found,,,,,,195,,2025-09-29T18:57:14.904710
CM0002153539,not_found,,,,,,195,,2025-09-29T18:57:17.779459
CM0002153540,not_found,,,,,,195,,2025-09-29T18:57:19.936194
CM0002153541,not_found,,,,,,195,,2025-09-29T18:57:22.069768
CM0002153542,not_found,,,,,,195,,2025-09-29T18:57:24.194067
CM0002153543,not_found,,,,,,195,,2025-09-29T18:57:26.319405
CM0002153544,not_found,,,,,,195,,2025-09-29T18:57:28.438267
CM0002153545,not_found,,,,,,195,,2025-09-29T18:57:30.561100
CM0002153546,not_found,,,,,,195,,2025-09-29T18:57:32.681677
CM0002153547,not_found,,,,,,195,,2025-09-29T18:57:34.809183
CM0002153548,not_found,,,,,,195,,2025-09-29T18:57:36.934345
CM0002153549,not_found,,,,,,195,,2025-09-29T18:57:39.059817
CM0002153550,not_found,,,,,,195,,2025-09-29T18:57:41.186131
CM0002153551,not_found,,,,,,195,,2025-09-29T18:57:43.312811
CM0002153552,not_found,,,,,,195,,2025-09-29T18:57:45.448537
CM0002153553,not_found,,,,,,195,,2025-09-29T18:57:49.771664
CM0002153554,not_found,,,,,,195,,2025-09-29T18:57:56.105804
CM0002153555,not_found,,,,,,195,,2025-09-29T18:57:58.327629
